iter	Passed	Remaining
0	63	25570
1	124	24878
2	184	24512
3	243	24199
4	304	24090
5	368	24227
6	431	24303
7	492	24178
8	554	24164
9	617	24146
10	691	24501
11	753	24429
12	815	24335
13	878	24292
14	937	24135
15	996	23975
16	1055	23834
17	1126	23967
18	1186	23846
19	1246	23738
20	1309	23703
21	1372	23643
22	1433	23566
23	1489	23395
24	1550	23312
25	1606	23173
26	1682	23300
27	1742	23214
28	1803	23128
29	1865	23071
30	1927	23008
31	2001	23082
32	2214	24696
33	2294	24764
34	2364	24728
35	2442	24765
36	2502	24620
37	2562	24481
38	2618	24307
39	2675	24149
40	2730	23976
41	2789	23841
42	2852	23747
43	2916	23663
44	2979	23575
45	3034	23419
46	3087	23252
47	3142	23109
48	3190	22922
49	3242	22763
50	3288	22568
51	3337	22396
52	3390	22261
53	3440	22109
54	3494	21983
55	3549	21869
56	3600	21728
57	3650	21585
58	3698	21440
59	3753	21333
60	3807	21220
61	3859	21105
62	3921	21041
63	3978	20947
64	4034	20856
65	4087	20746
66	4133	20608
67	4185	20494
68	4238	20394
69	4289	20282
70	4345	20196
71	4403	20119
72	4467	20072
73	4526	20000
74	4582	19919
75	4639	19837
76	4694	19754
77	4746	19656
78	4796	19551
79	4855	19482
80	4910	19399
81	4963	19310
82	5020	19237
83	5086	19195
84	5145	19127
85	5206	19070
86	5265	19005
87	5316	18910
88	5371	18829
89	5427	18756
90	5485	18686
91	5541	18613
92	5606	18568
93	5664	18500
94	5717	18417
95	5772	18339
96	5821	18245
97	5870	18149
98	5922	18066
99	5970	17972
100	6056	17989
101	6110	17911
102	6169	17850
103	6231	17794
104	6290	17734
105	6352	17677
106	6405	17601
107	6465	17539
108	6524	17479
109	6592	17439
110	6656	17391
111	6716	17329
112	6775	17269
113	6836	17210
114	6891	17140
115	6945	17063
116	6998	16988
117	7053	16915
118	7104	16836
119	7153	16751
120	7203	16668
121	7262	16608
122	7323	16552
123	7376	16477
124	7438	16425
125	7494	16357
126	7555	16299
127	7601	16212
128	7650	16132
129	7699	16049
130	7747	15968
131	7795	15885
132	7844	15807
133	7896	15733
134	7946	15657
135	7996	15582
136	8050	15512
137	8100	15438
138	8155	15371
139	8204	15295
140	8253	15218
141	8302	15142
142	8354	15072
143	8404	14999
144	8454	14926
145	8505	14854
146	8554	14780
147	8607	14713
148	8659	14645
149	8714	14581
150	8765	14512
151	8814	14439
152	8865	14369
153	8915	14299
154	8962	14224
155	9015	14158
156	9066	14090
157	9117	14022
158	9161	13943
159	9210	13873
160	9260	13804
161	9308	13733
162	9357	13662
163	9411	13600
164	9468	13542
