TotalDisplacement 3349410
MaxDisplacement 217
NumCells 210904
c210538 473 5451
c61267 476 6483
c61269 472 6351
c210539 473 5871
c61268 476 6411
c153836 590 8271
c153841 598 7899
c153837 605 8223
c155025 613 8187
c154974 614 8331
c153612 620 9579
c153847 622 8487
c154175 623 8019
c153892 623 8067
c153834 624 8127
c153551 625 8139
c154983 629 8223
c154130 635 8535
c154255 640 8163
c153930 640 7827
c154253 642 8067
c154614 644 9219
c154181 643 8499
c153835 648 8259
c154128 649 8355
c154980 654 8211
c153752 645 8511
c154170 651 8391
c153746 657 8151
c153891 657 8619
c153787 659 8499
c154102 659 9051
c154977 660 8187
c153647 660 9663
c153943 660 8235
c153777 662 8175
c153934 662 8523
c154182 662 8343
c153810 662 8283
c154100 658 9099
c153833 663 8079
c154985 665 8355
c153838 667 8391
c155028 666 8055
c153935 666 8475
c153897 667 7923
c155024 664 8067
c155035 673 9099
c153811 665 8427
c154166 669 8271
c154794 670 9387
c154994 644 8307
c154174 669 8511
c153751 672 8547
c154104 676 8067
c153843 674 7743
c154097 674 9111
c154982 676 8247
c153839 677 8571
c154996 669 8415
c155031 679 8199
c153910 680 8043
c155033 681 9135
c154176 681 7983
c154501 679 8979
c154377 682 8091
c153908 677 8415
c154888 684 8631
c153743 685 8271
c153744 672 8259
c153553 684 8355
c154975 696 8259
c154987 689 8427
c153782 685 7767
c155032 685 8139
c153894 685 7791
c153620 686 9447
c154387 686 7899
c153760 691 8391
c154090 681 9399
c155026 688 8247
c154345 694 9399
c154094 692 8979
c153607 685 8487
c154896 689 8451
c154603 680 8319
c153896 690 7839
c154785 690 8379
c153920 690 8067
c154495 690 9279
c154607 691 8019
c153937 691 8343
c154394 691 9411
c154180 692 8523
c154342 692 9267
c153609 692 7947
c154613 692 9243
c154615 692 9111
c153819 685 8511
c154298 693 8823
c154134 689 7815
c154401 693 9303
c155039 692 8415
c154120 652 8307
c154339 689 8439
c153914 694 7851
c61295 695 5067
c153820 693 8487
c154404 696 9147
c154173 701 8439
c153650 697 9519
c153821 697 8415
c153876 698 9687
c153771 689 8223
c153907 699 8295
c153560 699 8175
c153812 700 8583
c154451 697 8379
c154391 702 9531
c154242 705 7815
c154986 703 8235
c154605 701 7911
c153761 709 8379
c153749 713 8223
c154378 704 7971
c154798 704 8403
c153619 705 9483
c153927 709 8511
c154376 706 8499
c153806 693 8055
c154117 706 8031
c154241 707 8043
c154098 707 9243
c154103 707 9027
c154379 693 7959
c154992 709 8403
c154979 708 8331
c154064 709 9471
c154981 667 8307
c154167 711 8175
c153757 712 7719
c153940 712 8091
c154256 710 8247
c153617 712 9315
c154088 713 9435
c153928 717 8055
c154138 721 8415
c154124 714 8199
c154177 715 7911
c153645 714 9423
c153848 714 8427
c153605 715 8115
c155063 716 9735
c154252 712 8163
c153905 716 8103
c154243 717 7731
c154380 712 8067
c154620 694 8319
c153780 724 8067
c154402 718 9255
c154891 716 8475
c154893 724 8511
c153803 675 8307
c154299 720 8859
c153755 720 7695
c155017 723 8475
c153798 721 8031
c153922 721 8019
c154139 717 8487
c154127 723 8247
c154136 722 7947
c154105 725 8163
c153776 705 8319
c154392 722 9579
c153800 699 8307
c154835 706 8079
c153873 723 9363
c154895 731 8511
